,Artista,link
48,Jennifer Lopez,https://www.bandsintown.com/a/25900?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
49,Amy Winehouse,https://www.bandsintown.com/a/1300?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
50,Stray Kids,https://www.bandsintown.com/a/11408045?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
51,Soccer Mommy,https://www.bandsintown.com/a/13480015?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
52,Sea Wolf,https://www.bandsintown.com/a/10600?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
53,Darius,https://www.bandsintown.com/a/64409?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
54,ENHYPEN,https://www.bandsintown.com/a/15485270?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
55,Carlos Rivera,https://www.bandsintown.com/a/397879?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
56,Ben&Ben,https://www.bandsintown.com/a/13012875?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
57,Rozwell Kid,https://www.bandsintown.com/a/3011238?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
58,Afgan,https://www.bandsintown.com/a/373002?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
59,Ozark Henry,https://www.bandsintown.com/a/8453?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
60,The Escape Club,https://www.bandsintown.com/a/89531?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
61,Tommy Newport,https://www.bandsintown.com/a/15374507?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
62,Tiny Habits,https://www.bandsintown.com/a/15511270?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
63,Austin Giorgio,https://www.bandsintown.com/a/15295697?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
64,Eddie and The Getaway,https://www.bandsintown.com/a/10637419?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
65,His Name Is Alive,https://www.bandsintown.com/a/36724?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
66,Showoff,https://www.bandsintown.com/a/36590?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
67,L.C. Franke,https://www.bandsintown.com/a/442329?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
68,Ruben Hein,https://www.bandsintown.com/a/849194?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
69,MARIS,https://www.bandsintown.com/a/488595?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
70,Danny Pynes,https://www.bandsintown.com/a/12489206?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
71,Pedrina,https://www.bandsintown.com/a/11010007?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
72,Worlds Greatest Dad,https://www.bandsintown.com/a/4753808?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
73,Heather Mae,https://www.bandsintown.com/a/2591046?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
74,The Hootz,https://www.bandsintown.com/a/10297733?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
75,SASKE,https://www.bandsintown.com/a/4794057?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
76,Juliet’s Not Dead,https://www.bandsintown.com/a/24393?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
